ID,Name,Rating,Reviews,URL,Description,Location
1,Tempe Marketplace,4.3,153,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/bf/f4/30/tempe-marketplace-creates.jpg?w=500&h=-1&s=1,"With 1.3 million square feet of retail space to explore and over 100 shops and restaurants to choose from, Tempe Marketplace is the ultimate destination for Valley natives and out of town visitors…","Tempe, Arizona"
2,Mill Avenue District,4.3,766,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b2/8a/2b/photo1jpg.jpg?w=500&h=400&s=1,"This is a shopping, dining, nightlife area. It's similar to 5th Ave and Old Town in Scottsdale, which are listed on tripadvisor.","Tempe, Arizona"
3,SEA LIFE Arizona Aquarium,4.1,650,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/56/d5/ed/sea-life-aquarium.jpg?w=500&h=400&s=1,"Dive in to SEA LIFE Arizona! Be wowed by the many strange, beautiful and fascinating creatures of the deep as you journey through an amazing underwater world. Prepare for astonishingly close views…","Tempe, Arizona"
4,Arizona Mills,3.9,402,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/86/d6/06/imax.jpg?w=500&h=400&s=1,"Welcome to Arizona Mills, the state’s largest indoor, climate controlled outlet, value and entertainment destination! With over 185 stores to choose from including H & M, NIKE Clearance Store, Forever…","Tempe, Arizona"
5,Tempe Town Lake,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d9/08/d7/sunset.jpg?w=500&h=-1&s=1,"Enjoy leisurely strolls, bicycling, kayaking, standup paddleboard and more. There are more than 50 special events annually at Tempe Town Lake, from Ironman Arizona to great concerts, Way Out West …","Tempe, Arizona"
6,Legoland Discovery Center,4,324,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/71/cd/0a/character-meet-and-greets.jpg?w=500&h=400&s=1,"LEGOLAND(R) Discovery Center Arizona is a 40,000 square-foot indoor attraction featuring more than one million LEGO(R) bricks, LEGO(R) themed rides, a 4-D cinema and themed build-and-play areas providing…","Tempe, Arizona"
7,Tempe History Museum,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/81/29/78/tempe-historical-museum.jpg?w=500&h=-1&s=1,"The Tempe History Museum explores Tempe's history by telling the stories of people who have lived here from our Native American ancestors to present day. The exhibits, and programs are designed to…","Tempe, Arizona"
8,Mountain America Stadium,3.9,130,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/b0/bd/20/sun-devil-stadium.jpg?w=500&h=400&s=1,Football stadium where the Arizona State Sun Devils and the NFL's Arizona Cardinals play their home games.,"Tempe, Arizona"
9,AZ Heritage Center at Papago Park,4.4,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/94/a6/b2/take-a-photo-with-bob.jpg?w=500&h=400&s=1,"Home of the Centennial Museum, celebrating more than 100 years of Arizona history. Exhibits focus on the history and growth of Central Arizona, particularly the metropolitan Phoenix area. Walk through…","Tempe, Arizona"
10,Kiwanis Recreation Center,4.9,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/7e/de/75/getlstd-property-photo.jpg?w=500&h=400&s=1,"The Kiwanis Recreation Center is a beautiful 54,000 square foot complex. Facility amenities include an indoor wave pool, fitness center, gymnasium, corporate ramada area, classrooms and a 15-court…","Tempe, Arizona"
11,Desert Arboretum Park,4.1,14,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/83/44/72/a-part-of-the-mountain.jpg?w=500&h=400&s=1,This large arboretum contains more than 300 species of plants from various regions of the desert.,"Tempe, Arizona"
12,Tempe Tourism Office,4.1,8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/8f/1d/38/tempe-convention-and.jpg?w=500&h=-1&s=1,Offers information on baseball spring training schedules and accommodations in the area.,"Tempe, Arizona"
13,Pixypros Selfie Museum,3,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/0a/fd/dd/disc-room.jpg?w=500&h=400&s=1,"Pixypros is the 1st Selfie Museum in AZ! Featured on both CBNC, Fox news, and has gone viral on Tiktok and IG. It's an interactive museum for those who loves taking beautiful pictures with gorgeous…","Tempe, Arizona"
14,Simply Smashing Rage Release Room,4.3,20,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/36/fb/37/team-building.jpg?w=500&h=-1&s=1,"Simply Smashing “a Rage Release Room” is a unique combination of stress reduction and recreational destruction activity for anyone ages 8+. Most places, you break it, you buy it. Here you buy it then…","Tempe, Arizona"
15,Four Peaks Brewing Company,4.4,262,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/d3/79/c7/sampler-tray.jpg?w=500&h=-1&s=1,"The original Four Peaks in Tempe is the Mother Ship to all things Four Peaks! Daily Specials, Single Tank Series, and seasonals make each visit unique! Join us for a brewery tour and experience the…","Tempe, Arizona"
16,The Zone Escape Rooms,4.9,315,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8e/a2/2f/right-in-the-heart-of.jpg?w=500&h=400&s=1,"The Zone Escape Rooms is the most immersive escape game experience in the state. Voted ""Best Escape Room"" in Arizona! Conveniently located in vibrant downtown Tempe, close to everything! The Zone …","Tempe, Arizona"
17,Great Room Escape & Class Axe Throwing,4.9,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a5/c6/fe/tempe-class-axe-throwing.jpg?w=500&h=400&s=1,"Great Room Escape (formally known as Mindspark) is a fully interactive and immersive experience unlike anything else you can do in Tempe, Arizona. Up to 12 participants will be locked in a room, and…","Tempe, Arizona"
18,Escapology Tempe,5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/8a/a6/9e/who-stole-mona-lisa-escape.jpg?w=500&h=400&s=1,"Escapology Tempe, located in Tempe Marketplace, is Tempe's premium real-life escape game experience! Up to 8 players will be challenged in this Escape Game by working together to find clues, solve…","Tempe, Arizona"
19,The Church Of Jesus Christ Of Latter-day Saints,2,1,N/A,"Church building. No matter your story, we welcome you to join us as we all try to be a little bit better, a little bit kinder, a little more helpful—because that’s what Jesus taught.","Tempe, Arizona"
