ID,Name,Rating,Reviews,Description,Location
1,Tempe Marketplace,4.3,153,"With 1.3 million square feet of retail space to explore and over 100 shops and restaurants to choose from, Tempe Marketplace is the ultimate destination for Valley natives and out of town visitors…","Tempe, Arizona"
2,Mill Avenue District,4.3,766,"This is a shopping, dining, nightlife area. It's similar to 5th Ave and Old Town in Scottsdale, which are listed on tripadvisor.","Tempe, Arizona"
3,SEA LIFE Arizona Aquarium,4.1,650,"Dive in to SEA LIFE Arizona! Be wowed by the many strange, beautiful and fascinating creatures of the deep as you journey through an amazing underwater world. Prepare for astonishingly close views…","Tempe, Arizona"
4,Arizona Mills,3.9,402,"Welcome to Arizona Mills, the state’s largest indoor, climate controlled outlet, value and entertainment destination! With over 185 stores to choose from including H & M, NIKE Clearance Store, Forever…","Tempe, Arizona"
5,Tempe Town Lake,4.2,321,"Enjoy leisurely strolls, bicycling, kayaking, standup paddleboard and more. There are more than 50 special events annually at Tempe Town Lake, from Ironman Arizona to great concerts, Way Out West …","Tempe, Arizona"
6,Legoland Discovery Center,4,324,"LEGOLAND(R) Discovery Center Arizona is a 40,000 square-foot indoor attraction featuring more than one million LEGO(R) bricks, LEGO(R) themed rides, a 4-D cinema and themed build-and-play areas providing…","Tempe, Arizona"
7,Tempe History Museum,4.5,36,"The Tempe History Museum explores Tempe's history by telling the stories of people who have lived here from our Native American ancestors to present day. The exhibits, and programs are designed to…","Tempe, Arizona"
8,Mountain America Stadium,3.9,130,Football stadium where the Arizona State Sun Devils and the NFL's Arizona Cardinals play their home games.,"Tempe, Arizona"
9,AZ Heritage Center at Papago Park,4.4,52,"Home of the Centennial Museum, celebrating more than 100 years of Arizona history. Exhibits focus on the history and growth of Central Arizona, particularly the metropolitan Phoenix area. Walk through…","Tempe, Arizona"
10,Kiwanis Recreation Center,4.9,7,"The Kiwanis Recreation Center is a beautiful 54,000 square foot complex. Facility amenities include an indoor wave pool, fitness center, gymnasium, corporate ramada area, classrooms and a 15-court…","Tempe, Arizona"
11,Desert Arboretum Park,4.1,14,This large arboretum contains more than 300 species of plants from various regions of the desert.,"Tempe, Arizona"
